WP,City,Date,WP1,WP2,N1,N2,N3,N4,Carbon,Ozone,Sulpher,OC1,IN1,OC2,IN2,SI
2565,Carlsbad,14-05-2019,20.75,57.92,1.59,22.1,21.31,18.86,0.88,31.46,3.54,1.66,,0.29,15344.96,63
2566,Chico,11-08-2016,99.11,,62.51,55.44,,,1.81,36.17,8.85,5.52,,1.1,19025.96,324
2567,Visalia,19-07-2019,12.68,28.76,5.85,10.3,14.01,2.81,0.36,23.51,4.95,5.53,0.36,1.97,13674.96,47
2568,Camden,27-02-2017,66.19,,9.87,32.8,,,1.65,31.24,19.44,6.01,,2,5265.96,125
2569,Sandiago,18-08-2019,55.75,,5.83,12.76,17.27,17.75,0.86,32.77,1.38,5.46,,0.22,10377.96,77
2570,Fresno,17-01-2020,56.22,89.84,9.49,7.99,,2.95,,19.04,35.76,,,,8746.96,138
2571,NewYork,03-12-2020,20.71,67.91,17.89,15.49,26.54,12.85,0.72,30.06,,1.61,6.02,1.57,15531.96,82
2572,Sandiago,28-09-2015,31.14,,4.24,12.41,15.37,24.49,0.96,29.43,6.2,1.93,,0.13,2302.96,133
2573,Mexico,17-03-2018,53.62,148.35,25.29,61.54,63.78,17.25,1.52,32.78,13.91,0.27,0.11,0.08,12080.96,130
2574,Coyhaique,06-06-2020,18.07,36.06,2,7.01,5.2,22.89,0.97,,7.04,,,,6739.96,79
2575,Shreveport,19-02-2020,72.52,,9.88,134.31,37.07,,11.17,59.04,58.83,16.02,0.65,3.94,5007.96,289
2576,Edinburg,28-02-2016,125.3,,45.6,50.75,49.25,,1.37,29.45,49.83,33.91,20.75,6.25,19306.96,316
2577,Sandiago,01-12-2017,70.01,,4.1,22.83,14.96,,0.04,18.55,3.09,0.51,,0.25,15549.96,118
2578,Chico,10-04-2015,62.89,,4.96,8.75,5.04,,3.99,34.68,1.8,0.12,,0.16,5588.96,109
2579,Sanfransisco,13-02-2019,62.66,116.07,0.91,1.24,1.36,4.22,0.48,63.91,7.94,0.07,,0.29,4219.96,123
2580,Las_cruces,07-05-2019,33.96,75.28,6.94,31.88,33.2,3.39,1.01,15.51,13.3,,,,9714.96,101
2581,Chico,07-08-2015,49.49,,9.41,18.48,6.61,,2.12,22.6,7.59,0,,0,16133.96,127
2582,Camden,01-01-2017,308.94,,6.33,9.22,8.37,,1.71,10.35,13.19,,,,1304.96,394
2583,Modesto,17-08-2018,35.5,61.6,18.52,33.29,36.8,,0.75,15.94,10.94,20.21,1.44,2.04,13336.96,100
2584,Bakersfield,11-07-2019,101.52,234.99,53.42,66.38,118.57,,3.64,45.24,22.62,,,1.59,10771.96,300
2585,Modesto,14-02-2018,210.85,341.36,77.16,65.04,84.46,44.65,2,25.25,13.66,10.14,,5.39,4343.96,395
2586,Coyhaique,22-10-2019,25.19,50.05,5.13,13.74,14.85,2.23,1.35,14.71,5.55,,,,13726.96,55
2587,Modesto,14-05-2017,33.26,97.72,17.86,67.09,9.13,26.19,0,42.65,,0,,0.57,12065.96,81
2588,Carlsbad,16-08-2018,13.2,33.77,2.94,12.3,4.22,6.74,0.23,16.22,3.69,,,,8022.96,47
2589,Fresno,05-03-2017,,,,,,,,,,,,,16824.96,112
2590,California,27-02-2018,76.97,128,,,,6.01,0.55,51.41,1.8,0,,0.01,15841.96,112
2591,Fresno,12-12-2019,11.7,31.71,7.07,7.53,,0.08,1.01,21.36,5.08,,,,12658.96,112
2592,Redding,17-09-2016,56.06,240.98,21.61,5.4,36.07,10.51,1.08,23.35,10.72,0.44,1.1,4.01,13447.96,183
2593,Padrelascasas,03-04-2019,68.56,110,22,20.78,42.37,16.76,3.7,19.96,10.11,,,0,18159.96,170
2594,Padrelascasas,03-10-2019,58.97,148.8,14.38,18.79,31.43,8.74,0.99,27.94,12.88,,,0.13,533.96,184
2595,Logan,01-08-2020,28.65,80.52,3.14,28.34,19.23,6.29,1.19,46.34,6.53,9.85,1.38,3.6,5019.96,56
2596,Fresno,22-07-2018,,58.53,7.74,9.4,,6.89,1.47,9.21,10.38,,,,18145.96,102
2597,NewYork,22-04-2020,14.16,31.71,10.51,16.25,27.51,8.32,0.69,15.24,5.28,5.3,7.21,9.53,19450.96,47
2598,Mexico,31-03-2020,21.67,49.71,2.01,5.12,3.12,,0.37,35.61,8.42,0.04,,0.01,18219.96,64
2599,Mexico,03-10-2020,15.42,67.27,2.07,15.66,7.92,3.47,0.57,36.41,10.17,3.25,0.2,0.15,14472.96,65
2600,Coyhaique,29-05-2019,16.99,30.6,0.7,6.11,5.05,2.76,0.94,24.78,1.28,,,,13821.96,57
2601,Chico,16-11-2016,143,,65.28,79.46,,,2.12,23.37,8.47,21.72,,11.27,14443.96,324
2602,Chico,11-07-2016,214.6,,22.66,46.53,,,3.51,12.32,15.36,61.64,,9.63,9608.96,362
2603,Sandiago,21-03-2020,26.84,,9.62,11.59,19.26,34.41,0.64,30.2,5.57,4.62,,1.42,4954.96,85
2604,LosAngeles,02-11-2020,30.93,97.99,4.95,30.1,20.47,16.79,0.68,41.94,8.87,20.11,1.15,1.87,18574.96,104
2605,Sandiago,05-10-2017,33.52,,5.53,10.33,4.47,,0.1,28.25,4.67,0.04,,0.04,15298.96,61
2606,Fresno,19-04-2020,,120.78,6.61,7.19,,2.4,0.3,1.29,28.44,,,,9857.96,112
2607,Mexico,08-04-2019,13.55,27.6,2.89,7.91,6.43,4.48,0.79,21.36,11.34,0.29,0.1,0.08,3291.96,63
2608,Visalia,18-08-2018,31.26,62.68,2.97,15.29,18.45,13.44,0.57,24.75,3.76,21.89,2.18,12.15,5710.96,56
2609,Modesto,28-07-2019,44.75,126.54,10.38,26.62,23.98,48.25,0.93,51.04,10.61,11.95,0.27,1.43,313.96,111
2610,Chico,25-10-2016,101.93,,12.19,75.37,,,1.35,18.86,6.81,7.28,,1.73,86.96,282
2611,Padrelascasas,23-11-2018,86.9,154.09,6.39,11.07,11.52,5.81,1.68,55.65,9.59,,,0,14574.96,212
2612,Chico,06-10-2016,31.39,,3.22,5.04,4.22,,3.07,43.37,16.9,0.68,,0.79,1595.96,73
2613,Sandiago,22-11-2019,23.21,43.26,11.16,16.22,20.23,36.46,1,36.78,9.6,0,,0.92,14438.96,67
2614,Modesto,14-02-2020,97.09,201.4,24.13,56.21,61.87,47.18,8.28,37.6,6.88,21.81,4.09,4.9,4058.96,206
2615,Carlsbad,22-09-2018,46.38,96.33,15.57,31.44,33.91,19.01,0.81,36.54,6.35,0.67,,0.24,14076.96,102
2616,Mexico,15-04-2018,43.02,111.55,9.29,20.27,19.95,11.91,0.73,17.17,22.79,1.85,0.16,0.16,16812.96,128
2617,Angol,14-12-2018,62.72,150.04,3.1,23.99,23.74,15.62,0.8,43.14,10.74,4.28,,1.15,16781.96,158
2618,Sandiago,20-08-2015,79.09,,2.7,9.89,11.84,,1.92,13.14,3,3.69,,2.08,2048.96,201
2619,Coyhaique,15-04-2020,29.52,161.25,1.49,7.15,4.56,,0.89,64.48,2.8,,,,13611.96,157
2620,Medellin,01-07-2019,76.48,152.68,91,52.53,73.35,16.1,2.63,12.74,21.47,,,,12879.96,171
2621,LosAngeles,29-01-2020,40.92,97.02,7.43,42.28,28.51,16.76,0.67,43.78,22.14,31.37,2.62,3.66,8309.96,92
2622,Modesto,04-10-2020,46.17,170.14,11.51,27.05,25.82,37.81,0.73,42.88,9.49,26.44,0.37,3.23,14732.96,145
2623,NewYork,20-07-2018,26.58,93.07,11.99,13.93,23.04,13.8,0.64,41.89,6.47,1.76,1.98,1.38,3380.96,104
2624,Camden,04-02-2016,132.51,,5.97,27.51,,,0.34,47.44,6.58,1.77,,0.02,12348.96,235
2625,Carlsbad,23-09-2019,36.75,52.85,26.09,32.57,50.55,7.82,0.77,13.24,6.27,19.21,,0.93,16458.96,67
2626,Edinburg,10-02-2016,114.09,,22.08,23.03,70.17,,1.8,3.72,8.36,1.41,0.76,0.31,2627.96,328
2627,NewYork,14-02-2018,39.82,91.07,6.75,12.47,19.47,10.1,0.28,51.94,11.52,1.49,1.99,1.51,1764.96,81
2628,Mexico,07-09-2019,16.74,68.79,1.48,14.3,8.74,24.03,0.6,20.89,27.08,1.72,0.11,0.11,15674.96,83
2629,Mexico,18-01-2020,43.22,73.07,0.97,21.32,9.51,12.6,0.15,62.11,11.49,4.45,0.06,0.18,10596.96,97
2630,Chico,24-02-2019,126.38,,31.72,56.48,61.44,44.05,0.3,42.08,8.8,0.06,,0.02,8234.96,275
2631,Angol,01-02-2016,196.54,390.53,61.03,25.13,114.11,9.96,13.32,45.4,11.3,33.99,,10.47,18498.96,381
2632,Sandiago,16-09-2017,33.26,,6.18,10.57,13.53,,0,37.13,4.27,0.13,,0.11,10421.96,77
2633,Modesto,18-10-2019,80,56.28,61.85,42,17.65,33.82,0,,,0,,0.12,15008.96,106
2634,Chico,03-04-2017,121.23,,43.13,35.13,14.95,,1.42,15.24,8.62,10.74,,7.42,2686.96,307
2635,Modesto,18-06-2018,84.12,158.47,48.98,53.13,66.16,37.97,1.46,18.53,17.55,36.44,2.45,4.11,19713.96,215
2636,Medellin,10-10-2019,41.68,139.18,7.44,9.48,19.54,1.84,1.04,23.05,34.08,,,0,14589.96,116
2637,Bakersfield,13-12-2017,,,,,19.96,,0,,,0,0,0,5944.96,112
2638,Sandiago,03-01-2020,75.17,,8.17,25.44,35.9,27.13,0.98,19.85,7.02,1.79,,0,2827.96,270
2639,Angol,22-09-2019,44.83,94.83,11.88,22.64,35.42,14.23,0.63,19.33,9.69,4.61,,1.02,14374.96,94
2640,LosAngeles,31-01-2019,118.17,484.92,22.84,0.05,14.26,7.51,1.4,13.11,12.77,7.98,3.94,1.22,16968.96,259
2641,Coyhaique,21-02-2019,33.95,70.11,3.65,6.74,8.01,3.61,1.2,30.58,4.85,,,,15795.96,96
2642,Carlsbad,10-09-2017,24.3,55.03,36.58,13.77,27.61,29.92,0.99,21.92,4.54,3.13,,0.66,6144.96,57
2643,Modesto,01-03-2017,205.41,424.27,71.2,69.65,84.62,132.79,7.92,31.5,11.02,24.26,5.05,3.59,16055.96,431
2644,Modesto,26-11-2018,115.63,343.67,44.08,34.54,84.99,72.46,3.67,43.54,11.57,8.77,2.14,4.69,5254.96,302
2645,Redding,19-05-2019,31.19,88.87,7.7,12.48,17.25,7.69,0.46,11.24,10.51,1.24,0.91,5.98,18028.96,74
2646,Sandiago,21-01-2018,64.06,,7.65,21.79,20.44,122.45,0.87,114.42,14.24,1.17,,0.79,13859.96,107
2647,Angol,22-12-2018,89.15,158.68,29.24,32.04,78.22,14.44,0.9,60.25,12.92,22.37,,2.99,9447.96,246
2648,Coyhaique,26-07-2018,20.13,65.02,27.95,9.59,37.69,4.09,0.74,10.17,5.64,,,,11039.96,67
2649,Sandiago,21-09-2018,33.57,,7.77,16.04,20.69,18.68,0.92,19.74,9.01,0,,0.11,12423.96,128
2650,Chico,04-09-2017,100.22,,11.73,29.04,,,2.04,37.32,7.5,6.74,,2.23,3037.96,208
2651,Padrelascasas,20-04-2020,23.68,233.62,9.26,10.07,7.25,6.81,1.62,20.7,12.97,,,3.54,1852.96,117
2652,Mexico,28-07-2018,11.31,54.82,5.11,12.59,8.78,2.43,0.59,24.87,15.15,1.75,0.15,0.09,12609.96,67
2653,Coyhaique,22-06-2020,20.65,55.41,8.81,14.62,21.19,11.42,0.63,22.25,1.5,,,,15652.96,54
2654,Medellin,31-07-2019,22.69,62.74,96.69,9.2,112.1,7.11,3.39,2.45,25.55,,,0,19439.96,99
2655,Shreveport,20-04-2016,84.43,,12.53,31.95,23.92,,9.09,30.13,41.66,57.45,7.29,0,6967.96,379
2656,Padrelascasas,05-10-2020,34.09,55.87,5.14,15.01,9.63,29.23,0.71,40.19,2.67,,,1.32,14826.96,70
2657,Sandiago,22-08-2018,42.99,,6.09,18.09,18.5,66.53,1.17,46.77,4.39,0.12,,0.19,14016.96,94
2658,Carlsbad,15-08-2017,34.86,76.5,6.6,33.06,0,27.82,0.75,16.5,5.47,2.12,,2.67,8041.96,96
2659,Padrelascasas,11-04-2018,57.7,116.91,10.47,20.32,22.94,12.29,11.54,16.98,5.51,,,0.19,19526.96,115
2660,Padrelascasas,21-02-2020,78.82,212.34,31.46,34.95,51.23,1.78,4.07,14.95,8.69,,,,14693.96,206
2661,LosAngeles,18-04-2015,46.52,,11.2,10.02,16.29,,0.9,23.04,8.42,,,,8377.96,152
2662,Bakersfield,24-07-2016,,,,,44.75,,0,,,,,,12880.96,112
2663,Mexico,06-09-2018,19.18,64.14,3.39,21.04,15.75,11.09,0.75,26.26,9.23,1.21,0.22,0.31,16742.96,68
2664,Sandiago,15-10-2018,38.05,,4.49,12,13.49,63.19,0.96,27.86,11.36,0.95,,0.13,7332.96,99
2665,Carlsbad,13-06-2017,31.49,94.78,10.49,22.72,0,20.54,0.87,13.97,5.11,0.78,,1,15345.96,58
2666,Sandiago,25-05-2015,64.78,,6.98,16.32,19.77,89.65,0.94,30.82,9.89,2.09,,0,5337.96,173
2667,Visalia,26-01-2019,113.51,215.19,23.32,44,60.92,37.92,1.18,43.57,23.91,23.2,,132.99,13597.96,319
2668,Carlsbad,24-08-2019,15.51,41.7,17.51,15.7,27.83,19.28,0.76,22.31,4.12,3.85,,0.47,8267.96,58
2669,Sanfransisco,21-04-2019,13.4,21.09,1.68,2.58,0.6,1.69,0.27,32.56,5.4,0,,0.03,18201.96,72
2670,Shreveport,08-10-2018,35.08,,28.47,61.41,48.62,,,45.86,66.87,40.16,4.35,20.27,1468.96,493
2671,Mexico,14-06-2018,50.5,76.08,2.61,12.12,9.68,12.47,0.72,42.81,12.91,0.05,,0,4711.96,95
2672,Shreveport,12-05-2018,129.92,,24.75,57.83,40.17,,39.6,,21.27,28.31,9.39,19.01,5922.96,486
2673,Redding,28-12-2017,38.12,73.28,8.62,10.05,12.71,6.72,0.63,21.68,10.95,2.16,1.11,5.8,9282.96,87
2674,Sanfransisco,20-12-2018,6.98,17.71,1.2,2.65,0.97,1.82,0.18,36.52,7.85,0.19,,0.23,3090.96,59
2675,Logan,18-08-2019,42.83,105.32,8.85,51.62,34.47,8.97,0.74,19.1,15.98,12,3.34,6.16,2604.96,99
2676,Shreveport,22-04-2018,42.88,,5.29,29.08,21.21,,5.07,,29.05,13.2,5,43.37,16860.96,491
2677,Modesto,02-04-2019,108.94,258.33,13.27,34.23,31.14,23.34,0.84,27.25,11.85,16.02,0.25,1.86,8293.96,253
2678,Camden,18-12-2017,130.97,,3.66,17.56,15.6,,0.57,3.25,5.25,6.82,,2,18288.96,301
2679,Modesto,10-08-2015,52.37,131.37,6.61,26.79,23.55,26.55,0.89,40.91,12.99,3.49,0.21,0.38,14246.96,117
2680,Mexico,04-02-2020,29.86,49.94,1.4,15.79,14.44,97,0.41,10.43,11.89,0.74,0.13,0.12,13697.96,62
2681,Edinburg,28-10-2016,140.8,,6.57,14.96,26.13,,2.93,18.21,9.64,1.78,0.79,0.21,10299.96,315
2682,Mexico,11-10-2019,65.95,95.73,17.63,33.04,30.24,16.21,0.9,11.06,16.79,0.12,0.1,0.06,15623.96,110
2683,Shreveport,30-01-2018,89.67,,16.43,58.36,25.68,,25.88,44.26,21.39,32.05,0.52,2.14,10976.96,608
2684,Shreveport,16-11-2019,57.78,87.26,8.71,22.42,17.48,,13.57,35.97,37.35,32.32,6.95,4.01,1978.96,97
2685,Edinburg,06-05-2017,,,,,,,0,,,0,0,0,206.96,112
2686,NewYork,04-01-2017,56.69,143.67,9.54,19.7,,7.1,0.78,6.81,8.49,1.67,10.54,1.34,5082.96,120
2687,NewYork,15-05-2020,,53.75,33.29,9.61,,3.91,0,27.38,3.87,,,,14416.96,55
2688,Carlsbad,04-11-2020,25.58,48.97,2.54,8.93,8.81,30.71,0.55,32.74,4.68,1.28,,0.85,9520.96,60
2689,Camden,20-01-2019,79.23,200.62,41.11,27.92,87.29,,0.87,18.85,10.06,6.01,,2.01,17007.96,231
2690,Chico,07-04-2015,19.68,,3.19,10.1,3.85,,5.07,9.62,7.65,0.05,,0.01,6948.96,88
2691,Shreveport,28-07-2018,33.49,,8.88,9.63,13.6,,7.41,32.71,5.17,4.35,0.24,1.15,6807.96,71
2692,Mexico,01-11-2020,35.03,77.5,12.3,36.51,30.06,14.27,1.4,13.12,10.89,0.07,0.1,0.06,18969.96,75
2693,Sanfransisco,06-07-2020,12.64,57.53,0.84,1.4,0.88,7.21,0.21,28.44,5.04,0.52,,0.29,11890.96,61
2694,Bakersfield,04-10-2016,,,,,20.58,,0,,,0,0,0,14028.96,112
2695,Carlsbad,05-04-2019,30.29,58.32,11.62,35.41,32.55,22.09,0.99,24.94,4.61,1.18,,0.31,18130.96,76
2696,Las_cruces,18-03-2020,41.74,79.04,1.35,16.34,15.95,10.21,0.97,48.1,6.12,,,,7973.96,72
2697,Carlsbad,25-04-2017,56.8,175.12,7,25.56,23.53,16.97,1.03,50.62,3.79,1.94,,0.77,18721.96,155
2698,NewYork,04-12-2020,54.99,91.7,,9.54,,23.97,0.84,26.48,10.64,11.42,,6.4,7077.96,95
2699,Redding,10-04-2019,11.1,31.7,3.52,6.51,6.16,3.67,0.56,18.99,19.94,0.2,1.53,4.71,5916.96,49
2700,LosAngeles,25-03-2015,71.89,,10.63,8.08,24.69,13.39,1.47,37.11,11.66,16.84,1.91,1.2,18591.96,215
2701,NewYork,03-03-2018,100.88,294.19,23.32,16.62,43.7,20.04,0.67,32.94,39.74,0.99,2,1.7,6753.96,270
2702,Edinburg,17-01-2019,139.59,,9.88,19.19,9.25,,0.98,57.97,40.26,64.19,7.06,2.32,15031.96,308
2703,LosAngeles,03-08-2019,67.71,140.35,15.71,41.86,18.14,19.22,0.43,40.18,8.21,7.9,1.4,1.96,1879.96,160
2704,Fresno,19-08-2017,,169.37,7.01,7.44,,14.02,,5.02,,,,,3619.96,164
2705,Chico,01-09-2019,327.96,,61.6,116.6,88.22,41.41,3.98,6.04,9.46,4.81,,1.79,2799.96,369
2706,Sanfransisco,12-02-2019,8.93,21.47,0.83,3.06,1.07,1.72,0.46,27.52,5.39,0.19,,0.15,4993.96,112
2707,LosAngeles,22-03-2020,44.07,95.76,6.75,35.78,27.39,33.8,0.35,24.67,5.44,1.76,0,0.39,10755.96,93
2708,Angol,01-02-2020,114.09,144.36,44.18,54.87,77.29,13.03,1,31.53,3.53,17.8,,4.9,15018.96,184
2709,Sandiago,03-07-2016,40.74,,5.48,13.79,4.12,,0.2,21.88,5.27,0,,0.02,8656.96,76
2710,Carlsbad,27-06-2016,57.64,,7.97,26.98,21.95,7.94,5.75,19.64,3.79,3.99,,0,5691.96,156
2711,NewYork,26-05-2018,22.1,45.16,9.91,8.77,21.02,16.11,0.53,32.47,10.2,5.87,8.45,9.86,11732.96,71
2712,Chico,04-05-2018,134.65,,17.61,30.76,37.72,55.74,0.74,43.53,13.21,5.24,,2.41,11401.96,269
2713,Carlsbad,17-02-2017,43.47,90.91,4.66,25.26,13.76,19.4,1.37,39.18,5.07,1.44,,0.59,19097.96,107
2714,Sandiago,10-06-2015,50.68,,11.97,17.92,16.22,21.93,5.23,11.69,7.72,2.49,,,15812.96,102
2715,Modesto,15-12-2018,130.71,138.17,20.61,37.67,56.45,40.56,0.96,43.58,9.56,48.58,3.6,3.83,2077.96,321
2716,Coyhaique,23-12-2019,14.69,38.59,3.05,6.64,0.9,3.32,0.64,30.75,1.42,,,,12053.96,46
2717,NewYork,29-10-2019,69.67,81.58,12.53,7.28,20.34,7.6,0.51,27.8,5.43,1.48,1.98,2.13,7136.96,75
2718,Chico,26-04-2019,137.15,152.15,49.32,72.78,70.27,26.95,3.35,55.01,24.01,0.29,,0.19,11886.96,257
2719,Camden,02-04-2017,150.63,,15.61,6.34,5.6,,6.79,33.98,17.46,38.03,,4.2,8550.96,304
2720,Camden,19-12-2018,228.38,,30.57,45.61,35.7,,0.9,72.06,9.5,0,,0,4682.96,371
2721,NewYork,24-06-2020,61.65,186.07,14.19,10.47,24.3,14.65,0.24,62.13,,3.39,6.07,1.36,10674.96,152
2722,Logan,01-07-2018,67.22,202.92,20.36,62.88,48.01,16.26,1.15,49.37,9.67,8.76,6.72,4.44,13246.96,122
2723,Modesto,09-04-2018,79.61,396.26,29.35,56.24,74.32,,1.56,45.39,8.87,5.99,0.29,4.09,2797.96,414
2724,Camden,01-05-2020,68.06,177.89,10.96,22.22,29.35,,0.55,14.86,4.05,0,,0,8960.96,152
2725,Nevada,16-08-2018,41.91,96.39,2.72,15.85,23.76,12.94,1.19,1.58,18.7,,,0.69,8920.96,81
2726,NewYork,21-01-2018,53.91,90.59,4,37.28,69.48,23.16,0.98,23.7,7.02,2.48,12.62,6.23,15749.96,113
2727,Fresno,20-02-2019,,237.25,24.06,9.75,,,0.3,50.34,33.63,,,,14045.96,231
2728,Nevada,25-05-2020,13.59,25.19,2.03,6.34,3.41,2.73,0.37,15.91,15.45,,,0,13465.96,37
2729,Sandiago,30-03-2019,39.44,99.98,10.77,22.2,19.53,22.22,0.79,49.06,24.79,0.09,,0.19,16427.96,106
2730,Medellin,25-08-2016,27.48,73.38,15.97,14.58,10.88,40.29,3.17,31.29,34.84,,,0,12748.96,114
2731,Camden,20-03-2019,429.93,266.5,76.69,42.69,62.59,,0.54,45.37,12.81,0,,0,6732.96,370
2732,Coyhaique,22-03-2018,65.49,83.15,3.57,13.78,8.94,3.15,1.22,34.83,8.71,,,,19771.96,111
2733,Coyhaique,29-08-2019,12.89,28.79,3.08,8.58,4.41,1.83,0.89,18.97,3.91,,,,13361.96,46
2734,Medellin,02-03-2020,139.91,355.53,34.83,48.21,109.68,28.73,1.31,11.2,25.05,,,0,1735.96,393
2735,Chico,07-05-2019,39.65,,6.79,22.43,22.81,31.29,1.07,26.96,9.51,0.5,,0.28,329.96,54
2736,Nevada,30-01-2019,53.26,107.43,3.31,7.67,13.86,9.81,0.48,49.64,15.69,,,0,16854.96,108
2737,Padrelascasas,24-08-2018,66.84,204.55,3.96,11.64,14.92,9.32,3.01,10.78,14.39,,,0,1570.96,160
2738,Fresno,17-04-2017,,,,,,,,,,,,,19567.96,112
2739,California,01-11-2020,29.95,49.79,4.26,43.74,40.2,,0.74,20.32,8.5,0.02,,0,19991.96,83
2740,Carlsbad,17-08-2017,29.14,64,4.76,34.52,0,24.88,0.58,23.12,5.26,2.07,,3.33,6936.96,78
2741,Chico,04-02-2019,17.74,44.89,1.5,16.46,9.04,13.62,1.06,32.49,11.29,0.67,,0.17,3975.96,81
2742,Carlsbad,31-07-2015,20.85,,11.01,30.78,20.44,36.41,0.59,17.93,3.93,3.6,,0.81,10225.96,77
2743,Sandiago,01-12-2020,38.5,96.19,6.44,14.49,13.21,18.56,0.58,47.75,15.79,1.99,,0.36,17530.96,106
2744,Edinburg,15-07-2015,,,31.15,20.49,48.35,,1.29,9.44,4.4,0.65,0.48,0.24,9593.96,112
2745,Nevada,04-11-2020,17.96,3.71,4.48,9,14.67,21.62,0.44,31.36,14.13,,,0.15,6687.96,31
2746,Sandiago,07-01-2020,58.17,,5.49,6.17,8.72,23.3,0.03,48.81,4.17,0.02,,0.02,19272.96,101
2747,Shreveport,20-08-2019,62.86,,19.32,117.89,46.4,,22.98,39.98,76,32.35,6.95,4.04,6727.96,577
2748,Coyhaique,20-06-2020,11.28,38.03,2.72,6.51,7.11,18.17,0.7,27.37,7.45,,,,9890.96,38
2749,Edinburg,21-07-2015,,,21.57,23.05,66.62,,0.72,22.96,2.53,13.03,14.05,4.31,14974.96,112
2750,Sandiago,23-07-2018,8.96,,4.31,9.79,10.01,,0.02,27.99,4.57,1.4,,1.14,18605.96,85
2751,Modesto,06-10-2018,101.07,135.42,28.31,57.41,67.14,27.04,1.67,25.91,26.2,13.96,,5.64,13129.96,187
2752,Camden,15-05-2016,,,,,,,,,,,,,1494.96,112
2753,LosAngeles,12-02-2019,54.85,91.31,4.78,29.23,24.87,21.54,0.83,42.13,9.73,7.8,2.09,1.12,5799.96,129
2754,NewYork,13-07-2017,27.37,143.52,44.08,36.47,68.88,0.45,0.8,38.77,5.29,5.19,9.99,7.05,8306.96,156
2755,Logan,29-04-2018,39.15,70.56,7.05,27.77,23.54,10.55,0.5,53.28,1.1,5.28,0.24,2.41,9866.96,93
2756,LosAngeles,08-05-2019,19.65,39.92,3.98,21.18,17.8,2.71,0.38,39.58,8.58,6.26,0.43,0.76,11041.96,94
2757,Nevada,10-08-2017,84.34,167.03,3.02,19,14.85,10.81,0.64,33.36,7.85,,,,1717.96,140
2758,Shreveport,07-02-2015,20.81,,7.61,7.24,17.42,,7.87,16.94,5.82,6.93,1.4,2.68,1403.96,242
2759,Medellin,08-12-2017,142.85,346.97,33.54,6.11,39.3,6.98,2.58,38.22,22.24,,,0,16783.96,317
2760,Sandiago,15-08-2017,25.77,,13.5,24.33,18.7,,0.55,28.42,3.19,0.25,,0.05,11915.96,90
2761,Logan,20-03-2020,45.54,86.06,4.12,26.62,21.52,10.39,0.65,25.42,5.53,11.76,4.13,3.84,4224.96,86
2762,Coyhaique,25-07-2018,29.08,48.29,0.64,8.16,6.9,2.89,0.9,19.2,1.39,,,,4134.96,74
2763,Coyhaique,16-06-2018,48.05,139.9,2.84,14.56,14.93,6.61,1.17,31.31,10.73,,,,11780.96,101
2764,Nevada,14-10-2019,81.33,121.8,12.05,17.19,25.8,4.78,0.92,22.98,17.01,,,0.69,3899.96,196
2765,Angol,25-07-2017,,,,,,,0.92,,10.05,0.86,,0,19351.96,112
2766,Medellin,02-11-2020,19.48,46.49,7.14,9.64,16.19,,1.25,17.04,26.75,,,0,16417.96,58
2767,LosAngeles,28-03-2015,,,5.76,63.53,51.17,,0.69,6.82,14.6,6.08,1.71,2.18,12344.96,112
2768,Bakersfield,,14.29,60.84,33.65,27.85,61.56,45.3,1.7,30.38,18.74,,,0.27,12986.96,57
2769,Angol,06-06-2018,81.37,147.41,9.05,37.79,32.55,57.04,0.66,29.23,13.5,3.36,,0.32,10370.96,122
2770,Modesto,09-01-2019,46.52,124.58,10.23,25.52,17.97,54.17,0.85,28.26,11.11,3.85,0,1.17,6439.96,107
2771,NewYork,01-12-2020,46.35,112.21,11.09,17.33,25.59,43.99,0.81,26.86,6.38,1.6,2,1.91,12857.96,141
2772,Carlsbad,14-05-2017,21.91,65.15,10.38,26.2,0,26.15,0.52,20.88,4.54,0.83,,0.92,187.96,80
2773,Logan,03-06-2019,47.33,50.01,10.19,24.47,17.6,28.56,0.11,27.95,5.62,6.53,0.89,2.74,13237.96,103
2774,Sanfransisco,04-08-2020,16.34,91.69,11.81,12.5,0.47,62.07,0.22,22.73,7.28,0.54,,0.24,13057.96,44
2775,LosAngeles,20-04-2018,64.79,122.56,7.67,46.36,31.54,15.64,0.89,47.61,5.67,9.79,4.55,1.25,18741.96,136
2776,NewYork,01-03-2020,122.12,355.18,78.39,12.74,,16.85,0,14.55,8.8,3.27,6.82,15.07,17798.96,359
2777,LosAngeles,05-04-2019,63.55,135.65,10.19,43.08,29.57,21.15,0.68,27.52,4.77,3.04,0.02,1.28,12603.96,128
2778,Mexico,28-12-2019,39.74,97.6,3.77,19.04,17.26,18.53,0,45.41,7.42,,,,7072.96,132
2779,Angol,10-09-2015,21.21,49.6,4.43,7.29,,16.33,0.57,38.16,11.49,0.11,,0,863.96,59
2780,Texas,04-12-2019,78.62,136.1,124.07,7.25,144.69,,1.22,21.19,21.31,0,,,10856.96,182
2781,Modesto,25-10-2017,,,8.29,19.87,20.65,0.09,0.58,12.08,5.27,14.24,0.74,1.69,12508.96,112
2782,Padrelascasas,22-11-2019,43.23,61.96,12.42,13,17.84,6.8,2.09,29.94,7.1,,,0,13735.96,103
2783,Carlsbad,25-05-2015,63.4,,10.67,26.36,26.36,13.81,3.96,25.2,2.57,0.53,,0.25,14334.96,148
