City,Date,WP1,WP2,N1,N2,N3,N4,Carbon,Ozone,Sulpher,OC1,IN1,OC2,IN2,SI
Thiruvananthapuram,09/05/2020,14.1,39.56,1.13,3.67,3.31,5.85,0.55,41.46,2.57,,,,4960.96,46
Hyderabad,23/02/2020,64.22,109.54,3.45,47.49,38.05,19.84,0.81,38.99,10.81,0,,0.03,4961.96,115
Chennai,12/08/2016,55.01,,3.57,14.41,8.48,31.25,0.18,46.76,3.98,0,,0.26,4962.96,75
Chennai,29/03/2016,54.81,,8.68,20.51,17.14,107.55,0.68,115.61,11.48,6.15,,0.18,4963.96,123
Bengaluru,24/04/2019,43.44,103.19,13.28,37.06,32.95,,0.96,21.95,4.5,1.69,,0.35,4964.96,100
Jaipur,22/07/2018,32.5,68.73,8.96,24.89,31.68,14.21,0.74,18.96,10.83,1.15,,0.37,4965.96,85
Delhi,05/07/2015,48.2,74.14,40.04,40.17,58.68,25.7,1.14,43.06,16.64,33.53,0.77,4.49,4966.96,212
Lucknow,29/03/2018,121.28,,13.07,56.61,43.42,32.98,1.15,46.68,6.8,1.15,,0.98,4967.96,270
Thiruvananthapuram,16/04/2018,14.74,25.62,2.39,13.58,9.08,17.34,0.59,21.99,3.01,,,,4968.96,34
Lucknow,17/10/2017,68.07,,5.25,24.76,13.28,51.85,0.95,26.43,8.75,2.54,,0.63,4969.96,131
Brajrajnagar,05/10/2017,34.12,80.15,6.57,10.86,16.79,5.84,0,23.29,13.43,,,0.78,4970.96,89
Bengaluru,29/06/2017,17.5,38.96,6.88,11.32,19.58,27.42,0.44,12.21,4.47,0.82,,0,4971.96,68
Bengaluru,15/09/2016,75.72,395.17,5.35,51.91,65.82,31.13,0.86,30.26,4.91,1.5,,0.47,4972.96,129
Amaravati,17/06/2018,66.91,104.93,2.75,20.19,10.11,6.74,0.08,30.75,6.56,1.08,0.03,0.12,4973.96,147
Amaravati,04/05/2020,15.02,33.8,1.47,5.53,4.71,33.88,0.47,27.38,13.85,0.12,0.1,0.05,4974.96,64
Delhi,12/02/2018,138.9,211.03,22.61,37.47,53.12,46.37,1.18,31.61,13.67,19.3,0.18,4.86,4975.96,336
Patna,13/12/2016,216.79,,215.75,23.83,132.71,,3.07,4.18,7.19,1.11,0.82,0.31,4976.96,377
Patna,01/06/2020,26.47,75.8,50.81,14.87,55.4,4.38,0.63,16.49,8.57,3.44,3.01,1.14,4977.96,83
Kolkata,11/03/2020,17.43,38.79,3.86,11.14,14.43,10.7,0.37,65.65,3.79,5.9,0.36,1.79,4978.96,70
Amaravati,15/01/2020,30.7,52.07,2.87,17.81,14.77,2.51,1.04,43.47,9.68,2.75,0.12,0.25,4979.96,75
Amritsar,28/10/2018,53.07,112.57,36.09,58.15,67.24,13.97,0,17.7,14.82,10.46,7.25,7.12,4980.96,149
Hyderabad,24/11/2017,43.15,96.04,29.11,38.54,43.48,56.6,0.42,32.53,8.3,6.07,2.53,1.29,4981.96,99
Amritsar,10/03/2019,61.42,111.74,5.92,8.73,16.28,9.13,0.56,31.83,7.75,2.87,4.57,1.47,4982.96,124
Visakhapatnam,15/01/2020,18.87,69.05,11.44,25.15,22.65,12.08,0.11,39.32,5.63,7.91,1.34,3.93,4983.96,99
Hyderabad,06/02/2020,41.08,93.72,3.8,27.97,17.06,27.16,0.44,30.58,5.57,6.33,0.57,1.17,4984.96,84
Amritsar,07/10/2018,33.28,81.99,11.06,9.57,18.01,1.36,0.98,30.61,6,1.37,10.63,6.46,4985.96,65
Thiruvananthapuram,28/05/2020,31.18,56.09,2.46,9.72,8.52,11.33,0.71,29.38,7.92,,,,4986.96,70
Jorapokhar,26/08/2018,,51.79,8.08,7,,6.86,0.23,14.62,1.74,,,,4987.96,104
Gurugram,02/06/2016,139.75,,7.34,15,11.83,,0.03,24.68,3.21,,,1.63,4988.96,263
Jorapokhar,12/03/2018,132.51,253.53,27.89,11.74,,7.07,,23.07,27.93,,,,4989.96,291
Gurugram,12/11/2017,304.07,,12.53,34.17,31.35,,0.74,21.91,4.69,6,,2,4990.96,429
Chennai,25/02/2016,78.05,,7.86,24.43,8.44,,0.33,16.11,4.4,0.42,,0.04,4991.96,151
Bhopal,05/02/2019,50.7,126.26,14.8,69.35,49.95,211.28,1.33,9.3,22.12,,,,4992.96,104
Shillong,02/12/2019,8.93,21.47,0.83,3.06,1.07,1.72,0.46,27.52,5.39,0.19,,0.15,4993.96,
Thiruvananthapuram,09/08/2019,27.83,31.7,,11.25,4.6,9.05,0.79,4.82,3.94,,,,4994.96,32
Bengaluru,15/10/2019,27.66,57.06,11.73,22.65,25.97,15.03,0.7,25.84,6.68,0.91,,0.38,4995.96,42
Mumbai,17/07/2019,20.27,64.92,27.39,11.6,28.07,,1.62,35.08,16.04,,,0.34,4996.96,63
Kochi,13/08/2018,18.6,72.72,75.87,18.82,61.88,16.44,1.44,5.37,17.38,0,,,4997.96,84
Patna,14/02/2016,104.18,,5.79,14.01,24.07,,1.16,32.41,8.6,0.51,0.35,0.16,4998.96,329
Bengaluru,28/04/2020,18.92,42.85,11.78,21.51,29.74,6.13,0.87,20.8,5.72,1.07,,0.37,4999.96,44
Talcher,29/06/2018,16.94,151.86,30.75,11.46,55.71,,1.76,42.73,7.77,,,0,5000.96,366
Patna,23/06/2015,38.72,,16.07,16.96,40.45,,1.32,31.35,2.97,1.11,0.89,0.32,5001.96,88
Amaravati,21/06/2020,27.9,60.41,6.9,13.17,11.39,35.07,0.48,49.14,7.92,,,,5002.96,83
Jaipur,15/07/2019,61.75,279.22,7.41,73.56,59.67,41.17,0.8,38.29,12.15,2.22,,2.45,5003.96,231
Chennai,22/10/2017,58.68,,5.58,18.97,20.13,80.65,1.06,33.2,7.14,3.29,,0.02,5004.96,118
Lucknow,04/11/2016,104.96,,30.5,37.1,6.24,,1.04,10.02,5.7,3.19,,1.94,5005.96,307
Thiruvananthapuram,05/08/2019,11.71,26.41,1.05,15.39,11.38,2.81,0.92,31.38,6.71,,,,5006.96,35
Ahmedabad,19/02/2020,72.52,,9.88,134.31,37.07,,11.17,59.04,58.83,16.02,0.65,3.94,5007.96,289
Kolkata,31/08/2018,18.83,54.54,7.1,23.68,37.11,20.65,0.44,6.58,1.86,6.49,,1.64,5008.96,49
Chennai,28/05/2019,20.55,38.36,7.96,14.31,23.57,17.21,0.97,25.95,5.25,0.05,,0.07,5009.96,102
Delhi,29/06/2018,50.56,111.83,18.56,33.3,28.37,13.07,0.91,47.75,9.93,11.48,0.2,1.52,5010.96,110
Amritsar,24/07/2018,58.8,148.92,8.76,11.7,14.7,14.09,0.33,35.8,5.99,4.26,7.31,9.55,5011.96,131
Bengaluru,11/04/2020,8.86,28.96,3.78,10.29,9.11,24.52,1.32,25.27,3.59,9.79,,6.89,5012.96,40
Lucknow,22/04/2017,80.29,,4.24,12.05,6.24,,0.92,19.51,3.35,,,0.02,5013.96,128
Jaipur,02/10/2018,21.01,116.51,6.2,25.52,25.54,35.24,0.84,29.96,11.42,1.02,,0.74,5014.96,91
Mumbai,16/07/2018,22.97,56.89,12.44,15.89,28.28,15.16,0.39,7.79,10.08,,,1.37,5015.96,61
Lucknow,07/02/2017,45.7,,7.8,10.85,4.23,,1.15,27.79,10.11,4.75,,2.31,5016.96,81
Lucknow,01/07/2017,131.59,,14.02,46.57,,,1.42,23.29,7.23,5.76,,2.37,5017.96,61
Amritsar,25/02/2020,111.53,207.45,25.55,5.54,22.23,43.78,0.69,19.58,12.68,1.1,8.71,1.3,5018.96,207
Visakhapatnam,08/01/2020,28.65,80.52,3.14,28.34,19.23,6.29,1.19,46.34,6.53,9.85,1.38,3.6,5019.96,56
Thiruvananthapuram,11/11/2019,33.77,49.24,0.86,5.65,3.25,5.35,0.72,62.66,6.28,,,,5020.96,70
Delhi,22/01/2015,120.77,317.01,57.81,41.29,99.74,49.57,8.8,20.89,11.01,7.57,,1.41,5021.96,387
Coimbatore,04/05/2020,45.26,32.2,8.78,25.12,25.53,26.62,0.88,,13.58,0.02,,0.02,5022.96,58
Jaipur,07/05/2018,31.04,80.3,1.96,16.04,11.97,18.51,0.64,50.59,12.31,3.14,,0.64,5023.96,97
Bengaluru,02/09/2017,20.16,80.95,10.27,25.17,0,11.32,1.37,32.98,6.34,7.16,,0.93,5024.96,98
Bengaluru,24/10/2018,80.61,113.62,34.82,40.05,37.65,19.34,1.09,29.57,10.11,1.28,,0.86,5025.96,144
Amaravati,04/02/2020,43.44,64.9,8.14,31.5,24.63,13.97,0.82,47.12,10.87,0.27,0.13,0.03,5026.96,81
Bengaluru,12/08/2018,32.91,63.49,13.85,30.36,37.84,18.75,1.05,10.78,6.74,1.16,,0.32,5027.96,65
Kolkata,09/03/2019,165.98,135.65,60.17,35.98,95.33,32.75,0.69,66.45,5.18,34.65,1.43,15.93,5028.96,240
Ahmedabad,18/05/2018,12.83,,38.47,32.58,80.44,,31.56,11.05,56.47,83.47,19.29,20.96,5029.96,447
Thiruvananthapuram,14/06/2020,21.78,49.8,13.34,18.54,26.41,11.25,0.69,14.09,13.66,,,,5030.96,58
Ernakulam,18/01/2019,42.6,49.39,2.98,2.9,4.34,6.31,1.24,34.88,3.49,0.39,0,0.17,5031.96,55
Talcher,10/01/2018,,,,,,,,,,,,,5032.96,
Gurugram,23/05/2016,,,,,,,,,,,,,5033.96,
Jorapokhar,02/08/2018,,,,,,,,,,,,,5034.96,
Gurugram,31/07/2018,53.12,69.65,18.26,22.63,25.07,22.46,1.06,22.89,9.22,1.66,1.75,8.04,5035.96,110
Amaravati,13/05/2018,20.76,86.17,1.17,17.01,13.5,6.39,0.68,38.51,11.38,1.6,0.12,0.27,5036.96,78
Delhi,20/05/2018,113.74,211.99,65.32,11.67,35.18,54.91,18.21,47.97,6.75,9.74,4.39,5.48,5037.96,270
Lucknow,12/09/2019,47.15,,6.94,25.56,15.42,19.64,1.02,54.67,5.34,0.79,,0.57,5038.96,88
Thiruvananthapuram,08/12/2019,35.51,52.69,8.34,27.7,30.32,10.36,0.81,39.58,5.29,,,,5039.96,69
Bengaluru,11/05/2017,27.67,70.58,9.79,38.85,0,18.74,0.91,42.13,7.11,1.22,,1.14,5040.96,80
Shillong,29/05/2018,11.55,22.15,0.78,2.13,1.17,3.94,0.15,60.71,10.76,0.18,,0.32,5041.96,81
Hyderabad,18/04/2019,58.37,89.89,6.99,19.29,21.24,13.47,1.23,42.94,5.43,21.53,0.49,1.43,5042.96,94
Amritsar,25/10/2019,10.72,32.14,8.41,10.5,13.78,1.57,0.2,17.09,7.28,3.48,10.47,6.24,5043.96,78
Amritsar,25/11/2019,62.62,97,27.7,47.49,82.13,7.98,0,34.16,2.44,6.18,6.28,9.13,5044.96,95
Visakhapatnam,09/11/2018,40.62,74.31,16.78,35,40.58,8.05,0.95,30.84,3.24,8.81,4.76,5.28,5045.96,87
Hyderabad,25/05/2020,21.24,75.19,5.92,19.82,15.07,12.04,0.29,1.29,5.39,6.23,0.91,0.49,5046.96,60
Ahmedabad,16/10/2018,,,,,,,,43.73,,0,0,0,5047.96,
Gurugram,09/09/2017,113.94,,,,,,1.05,36.76,13.15,,,,5048.96,94
Jorapokhar,08/09/2017,,70.35,7.7,7.18,,,1.3,9.43,11.99,,,,5049.96,103
Hyderabad,13/04/2015,54.08,,8.66,10.61,20.16,,0.66,58.82,6.71,,,,5050.96,144
Mumbai,23/01/2019,12.49,32.55,8.94,6.41,11.88,,0.4,24.95,6.81,,,1.79,5051.96,48
Talcher,19/10/2016,83.14,189.56,5.58,62.93,54.08,47.49,0,18.23,4.91,,,,5052.96,209
Chennai,05/02/2017,98.21,,5.64,9.54,10.45,,0.14,26.6,7.89,0.26,,0.51,5053.96,215
Talcher,28/08/2019,,,,,,,,,,,,,5054.96,
Jorapokhar,25/08/2017,,93.22,7.86,9.18,,18.33,0.34,,16.38,,,,5055.96,108
Jorapokhar,25/10/2019,43.87,211.19,8.86,9.44,,5.92,,24.3,4.63,,,,5056.96,168
Mumbai,01/05/2018,57.41,137.31,14.58,17.77,36.6,,1.18,,14.45,,,0.26,5057.96,157
Gurugram,12/05/2019,121.32,157.28,9.71,35.12,26.24,,4.12,51.65,,,,,5058.96,319
Bengaluru,31/08/2016,9.57,,4.36,8.53,9.96,,8.71,13.83,2.33,9.97,,,5059.96,117
Guwahati,16/09/2019,24.47,44.99,7.39,19.54,37.32,5.3,0.79,4,13.47,,,0.85,5060.96,46
Gurugram,05/03/2020,37.08,133.08,15.89,11.4,19.37,5.7,0.51,23.66,2.97,0,,0,5061.96,145
Bengaluru,10/08/2015,27.88,,5.43,10.2,18.07,11.14,0.93,38.77,7.12,10.35,,1.34,5062.96,41
Hyderabad,07/04/2015,21.74,,12.28,18,28.93,,0.47,23.17,5.76,2.2,0.08,0.73,5063.96,128
Mumbai,10/03/2016,,,,,35.63,,0,,,0,0,0,5064.96,
Jaipur,25/11/2017,95.35,167.05,101,42.06,101.29,46.21,1.04,36.14,9.01,23.25,,4.62,5065.96,210
Chennai,04/11/2018,33.78,,12.32,27.58,27,56.59,0.62,16.58,7.74,1.3,,0.61,5066.96,73
Mumbai,19/04/2019,38.39,90.5,25.96,20.6,53.44,,1.14,32.46,22.98,,,0.29,5067.96,92
Jaipur,02/01/2020,71.72,170.44,7.18,31.61,31.04,25.52,0.77,7.89,11.27,24.45,,1.49,5068.96,239
Brajrajnagar,10/07/2018,33.46,,0.92,18.82,14.08,12.1,1.81,43.64,2.22,,,0.72,5069.96,71
Mumbai,26/10/2019,13.86,53.66,20.81,13.76,39.12,6.44,0.2,25.83,11.08,,,0.1,5070.96,68
Thiruvananthapuram,22/02/2020,59.07,105.17,0.98,14.75,14.4,20.73,1.3,46.43,9.6,,,,5071.96,140
Delhi,23/05/2019,51.46,169.62,9.9,29.54,26.43,12.62,0.86,47.94,10.99,10.24,1.24,1.99,5072.96,126
Kolkata,21/08/2019,13.61,27.03,75,31.84,57.01,73.3,0.71,15.2,2.93,0.03,,0.02,5073.96,57
Lucknow,30/12/2017,82.29,,16.98,35.22,31.59,11.74,1.36,15.68,6.12,0.37,,1.04,5074.96,221
Delhi,04/06/2020,32.99,39.21,21.59,49.45,52.41,9.7,3.77,30.51,7.72,12.43,1.68,4.37,5075.96,102
Bengaluru,30/06/2020,20.72,72.63,3.1,13.69,15.17,17.65,0.88,49.9,5.64,0.57,,0.28,5076.96,79
Bengaluru,13/04/2018,21.99,51.02,3.09,22.4,12.78,39.39,0.89,23.31,5.69,1.88,,1.47,5077.96,63
Amritsar,01/06/2020,39.6,183.01,10.7,9.03,21.04,8.05,0.56,55.13,14.41,1.15,1.98,2.51,5078.96,114
Thiruvananthapuram,08/04/2019,31.5,63.07,0.88,1.51,1.3,3.68,0.55,17.9,1.74,,,,5079.96,53
Thiruvananthapuram,09/11/2018,56.67,106.45,,9.12,11.17,8.03,1.25,15.03,8.28,,,,5080.96,113
Hyderabad,27/06/2018,26.35,65.84,4.75,19.61,16.14,17.9,0.36,41.39,4.86,0.7,0.06,0.13,5081.96,66
Amritsar,01/04/2017,56.69,143.67,9.54,19.7,,7.1,0.78,6.81,8.49,1.67,10.54,1.34,5082.96,120
Bengaluru,13/01/2016,46.53,80.42,9.9,30.21,24.39,26.77,1.78,57.04,2.99,3.04,,1.68,5083.96,99
Visakhapatnam,05/04/2018,53.46,95.96,3.85,56.31,26.88,15.46,0.6,52.36,11.21,10.68,5.99,8.72,5084.96,128
Ahmedabad,09/10/2015,56.16,,22.87,57.29,19.31,,25.54,22.51,40.88,32.3,7.02,4.1,5085.96,459
Amaravati,26/06/2020,16.16,46.32,8.59,11.01,11.97,15.3,0.42,33.96,16.9,1.39,0.17,0.06,5086.96,55
Delhi,06/10/2017,87.59,274.73,21.67,68.86,87.26,21.29,1.35,47.64,11.61,28.88,0.08,4.68,5087.96,178
Visakhapatnam,28/11/2018,69.89,164.51,3.73,31.6,38.17,,1.01,46.78,7.55,6.24,1.66,2.36,5088.96,148
Amaravati,10/01/2018,,,,,,44.37,,28.56,,,,,5089.96,
Mumbai,08/07/2016,,,,,33.6,,0,,,0,0,0,5090.96,
Amaravati,14/04/2020,14.78,56.35,7.69,25.52,22.01,23.88,0.03,39.88,9.29,0,,0.18,5091.96,70
Bengaluru,17/07/2019,17.73,72.31,5.27,22.45,19.66,36.45,0.81,11.14,5.44,4.36,,0.23,5092.96,75
Thiruvananthapuram,28/09/2018,47.86,85.59,1.63,7.81,7.15,,1.07,66.57,5.94,,,,5093.96,93
Delhi,23/12/2018,197.7,425.52,78.37,57.97,73.17,51.82,1.06,36.26,19.07,6.15,,2.51,5094.96,365
Lucknow,29/08/2019,30.52,,9.32,18.36,18.42,31.02,0.81,50.16,6.46,7.01,,4.11,5095.96,80
Thiruvananthapuram,10/12/2018,22.16,88.19,6.64,19.28,22.06,4.64,1.09,9.56,8.75,,,,5096.96,82
Lucknow,14/06/2018,36.48,,2.23,12.54,8.53,8.97,1.06,33.74,5.25,4.29,,25.94,5097.96,72
Lucknow,13/12/2018,194.97,,10.77,60.52,20.07,41.84,1.02,25.57,6.69,12.73,,2.99,5098.96,379
Thiruvananthapuram,29/05/2018,12.53,29.58,6.92,11.33,11.55,6.39,0.83,33.12,5.74,,,,5099.96,53
Amaravati,25/08/2018,22.85,48.23,3.29,19.96,17.33,34.23,0.59,29.29,16.02,0.85,0.13,0.14,5100.96,75
Talcher,08/08/2016,,,,,,,,,,,,,5101.96,
Mumbai,27/12/2017,,,,,52.73,,0,,,,,,5102.96,
Ahmedabad,22/07/2016,95.26,,19.5,6.98,23.34,,,15.6,,,,,5103.96,
Gurugram,10/08/2019,,,23.75,9.99,21.78,40.73,3.31,18.56,23.1,,,0.11,5104.96,
Brajrajnagar,27/09/2019,46.84,,,,0,,0,,,,,1.85,5105.96,87
Lucknow,04/03/2017,59.9,,6.53,49.22,,,2.2,17.68,1.9,0.28,,0.28,5106.96,265
Gurugram,24/03/2019,48.6,109.02,48.4,17.41,42.65,,1.06,19.63,30.24,0,,0,5107.96,128
Bhopal,18/02/2020,80.48,186.53,8.78,29.13,27.3,16.11,1.25,31.25,7.99,,,,5108.96,208
Chennai,01/10/2018,109.02,,8.51,18.69,20.27,21.78,0.77,31.3,8.42,0.24,,0.1,5109.96,222
Jorapokhar,20/05/2020,,36.96,7.02,9.35,,25.13,2.61,12.41,3.35,,,,5110.96,102
Lucknow,19/11/2019,129.16,,4.09,8.42,5.03,,2.04,52.29,5.11,,,,5111.96,315
Chennai,18/07/2018,34.85,,8.54,8.72,17.34,53.89,0.89,24.79,4.4,0,,0.45,5112.96,55
Mumbai,07/08/2017,170.77,322.66,,,35.36,3.9,2.07,13.21,,1.42,0.9,0.39,5113.96,95
Bengaluru,11/08/2018,31.27,92.4,0.92,12.2,6.36,6.58,0.83,14.97,5.78,1.36,,0.37,5114.96,104
Brajrajnagar,15/10/2018,74.43,165.35,26.08,13.48,34.59,36.82,3.67,34.54,19.24,,,0,5115.96,142
Amaravati,07/07/2018,25.48,43.44,5.45,30.8,22.75,,0.59,23.62,10.9,0.12,,0,5116.96,69
Delhi,07/06/2019,80.88,118.07,17.3,39.97,51.49,36.39,0.86,52.88,9.43,1.62,,1.34,5117.96,250
Hyderabad,28/01/2019,77.23,169.06,23.6,18.13,5.8,,0.24,22.06,5.46,0.42,0.69,0.02,5118.96,234
Mumbai,06/11/2018,67.12,94.65,18.39,36.85,59.91,11.16,1.88,31.92,17.68,,,2.77,5119.96,101
Kolkata,21/11/2019,228.73,217.9,90.13,48.36,129.46,38.4,1.09,27.69,11.52,33.11,,20.42,5120.96,295
Chennai,20/09/2018,77.26,,11.86,23.7,15.3,33.86,0.88,27.16,7.64,0.02,,0.06,5121.96,95
Jaipur,10/12/2018,78.29,160.08,61.61,43.54,76.63,26.19,2.04,50.91,10.27,9.78,,4.95,5122.96,184
Lucknow,13/09/2019,24.31,,6.61,26.15,24.74,37.28,0.88,29.43,4.66,0.34,,0.37,5123.96,101
Amaravati,04/08/2018,8.45,11.71,1.36,4.1,3.54,4.78,0.69,13.81,12.21,0.12,0.1,0.16,5124.96,43
Bengaluru,05/01/2020,83.94,161.56,11.07,43.48,0,17.21,1.11,19.59,4.28,0.65,,0.89,5125.96,153
Lucknow,26/03/2018,222.24,,13.92,60.07,40,22,1.1,55.99,8.79,17.26,,5.55,5126.96,345
Ahmedabad,26/04/2019,89.94,266.71,22.13,48.4,35.04,,18.4,32.09,25.97,39.71,2.54,4.85,5127.96,300
Ahmedabad,17/11/2018,84.23,,24.88,176.22,56.2,,74.63,,18.66,83.47,14.62,16.57,5128.96,585
Patna,31/07/2015,,,19.46,16.4,39.38,,1.89,7.39,6.28,1.04,0.81,0.24,5129.96,
Patna,12/07/2016,,,31.58,19.21,55.03,,2.18,41.03,10.12,0.74,0.54,0.18,5130.96,
Lucknow,05/04/2016,52.06,,4.52,17.83,4.22,,25.96,50.38,,3.78,,4.7,5131.96,
Bengaluru,18/08/2019,26.36,76.83,17.84,42.93,35.64,25.96,0.58,20.51,3.83,1.77,,1,5132.96,67
Delhi,26/12/2018,340.9,490.33,121.41,65.49,64.47,45.61,0.57,35.33,42.33,7.32,,2.66,5133.96,541.8
Chennai,06/08/2018,31.47,,7.34,10.74,9.61,16.68,0.92,13.32,4.08,6.19,,1.39,5134.96,69
Bengaluru,22/06/2018,20.8,39.43,5.38,13.83,10.19,,0.77,22.51,3.01,3.85,,3.48,5135.96,57
Guwahati,27/11/2019,231.34,415.92,17.99,20.27,23.62,6.38,0.72,20.76,23.57,,,1.76,5136.96,359
Lucknow,05/11/2019,219.46,,25.49,58.33,52.22,48.44,1.02,27.76,6.24,4.71,,2.03,5137.96,408
Bengaluru,20/08/2018,25.65,46.1,3.95,18.06,14.03,24.23,0.83,13.44,4.06,2.38,,0.21,5138.96,83
Bengaluru,02/03/2018,36.96,84.07,3.62,28.85,23.95,14.51,0.77,43.39,8.27,2,,0,5139.96,90
Mumbai,05/10/2019,21.59,55.72,24.17,14.25,34.96,13.85,0.36,17.43,8.36,,,4.46,5140.96,76
Hyderabad,26/07/2018,103.99,59.47,3.41,22.42,17.42,6.45,0.46,12.32,5.32,13.14,3.88,2.05,5141.96,116
Lucknow,02/01/2020,219.18,,12.66,58.91,35.19,30.16,0.31,15.68,14.26,0,,0,5142.96,398
Delhi,05/11/2017,202.94,326.44,114.49,68.68,176.94,56.64,2.1,53.36,19.29,30.39,,4.02,5143.96,340
Delhi,28/01/2020,138.89,327.67,63.88,51,95.14,11.97,4.73,20.48,15.66,5.06,0,4.63,5144.96,357
Amritsar,20/09/2018,29.26,51.18,9.51,11.5,17.79,41.94,0.58,12.52,5.77,1.1,8.81,1.3,5145.96,63
Delhi,06/04/2016,97.75,171.21,14.24,46.71,16.58,34.82,0.86,59.42,6.01,3.21,0.28,0.9,5146.96,309
Jorapokhar,09/09/2019,,94.02,4.47,7.06,,11.59,0,6.27,,,,,5147.96,120
Jorapokhar,22/03/2020,,38.42,21.02,11.41,,2.6,0.4,16.83,14.38,,,,5148.96,140
Gurugram,16/05/2017,110.31,,2.08,9.93,7.13,,0.47,5.89,2.34,,,,5149.96,235
Jorapokhar,24/06/2019,15.74,59.45,23.98,10.25,,6.99,,20.11,38.21,,,,5150.96,103
Bhopal,12/08/2018,10.6,22.03,2.89,11.41,10.76,5.11,0.8,20.71,13.32,,,,5151.96,45
Hyderabad,06/01/2020,27.86,64.61,7.68,35.62,22.66,11.39,0.55,47.23,5.28,16.86,1.64,1.58,5152.96,76
Chandigarh,23/09/2016,28.89,89.12,10.77,6.51,14.65,31.44,0.62,20.52,13.4,0.84,0.38,5.64,5153.96,76
Hyderabad,30/10/2018,42.24,96.25,8.75,36.43,2.44,56.65,0.17,26.3,9.48,5.25,0.65,0.29,5154.96,91
Chandigarh,06/12/2019,162.77,278.74,30.78,15.41,38.97,1.87,0.75,19.16,7.65,0.14,0.91,3.93,5155.96,306
Amaravati,03/04/2019,27.88,44.17,1.72,4.41,10,8.85,0.72,39.38,8.15,6.39,0.12,0.35,5156.96,57
Mumbai,17/01/2016,,,,,41.34,,0,,,0,0,0,5157.96,
Mumbai,24/09/2015,,,,,29.01,,0,,,0,0,0,5158.96,
Gurugram,04/01/2016,,,11.4,22.18,27.09,,0.86,39.28,4.42,,,,5159.96,
Amritsar,14/10/2016,48.68,121.85,10.86,11.39,,15.36,0,7.8,1.57,,,,5160.96,114
Chennai,24/04/2020,60.26,,9.87,10.74,15.63,19.4,0.89,56.92,4.7,0,,0.61,5161.96,125
Talcher,27/05/2019,33.74,79.87,16.55,7.73,16.59,0.23,1.54,24.05,13.3,,,,5162.96,108
Brajrajnagar,14/09/2017,,113.12,13.44,17.86,27.33,12.94,0.95,18.2,19.84,,,12.65,5163.96,102
Jaipur,26/11/2019,29.02,102.7,9.6,32.87,35.79,27.33,0.6,43.92,5.62,2.46,,0.68,5164.96,109
Brajrajnagar,24/02/2020,67.55,80.7,3.97,15.66,20.7,41.74,4.07,3.59,13.28,,,0,5165.96,114
Gurugram,04/05/2019,87.21,155.06,34.43,27.15,28.62,,5.08,26.44,11,0,,0,5166.96,195
Patna,29/03/2018,62.73,59.41,0.11,29.74,10.08,18.89,1.2,36.46,59.82,7.5,6.3,5.67,5167.96,147
Bengaluru,28/08/2015,92.96,,4.67,15.77,12.06,69.1,16.77,22.48,1.7,10.49,,5.79,5168.96,235
Delhi,25/10/2017,88.71,154.56,23.81,46.58,61.72,32.21,1.28,33.81,17.52,9.68,,2.6,5169.96,269
Jorapokhar,06/04/2019,55.98,89.1,13.29,9.09,,2.84,,21.83,32.52,,,,5170.96,219
Amritsar,23/01/2015,,,,24.06,29.36,25.37,0.82,9.69,11.76,1.12,4.27,3.87,5171.96,
Bhopal,19/11/2018,54.07,101.1,13.68,36.9,34.4,9.53,1.25,34.88,20.32,,,,5172.96,130
Gurugram,11/04/2019,33.07,,7.32,19.07,18.2,,0.94,41.56,,,,,5173.96,80
Delhi,08/12/2017,165.84,348.6,40.46,36.46,70.64,23.92,0.9,48.71,10.89,3.99,,3.43,5174.96,322
Lucknow,18/05/2020,43.7,,7.24,20.87,17.54,26.84,0.64,61.41,16.51,0,,0,5175.96,109
Patna,20/06/2018,38.47,,14.28,71.41,23.82,,1.23,21.12,26.85,21.77,8.4,2.32,5176.96,77
Amaravati,26/04/2020,7.65,21.48,3.37,9.14,8.76,2.89,0.9,12.58,6.8,0.12,,0.02,5177.96,47
Chennai,28/02/2017,49.58,,7.22,9.63,8,105.91,0.97,15.2,3.67,3.92,,2.58,5178.96,81
Gurugram,04/06/2017,127.19,,7.6,10.22,,,2.44,10.67,9.62,,,,5179.96,395
Gurugram,04/12/2016,132.82,,11.2,8.47,18.6,,0.33,10.5,11.62,,,,5180.96,314
Talcher,26/09/2017,101.68,131.91,69.42,35.39,132.13,23.17,3.91,45.44,17.12,,,0,5181.96,235
Brajrajnagar,18/04/2020,16.74,45.25,10.35,12.98,16.46,32.24,1.45,43.3,,,,0.97,5182.96,106
Patna,14/10/2016,71.77,,25.57,66.66,39.82,,1.02,35.85,35.12,33.11,14.41,2.68,5183.96,156
Amritsar,24/06/2017,,127.61,12.17,10.41,18.02,0.61,0,25.03,1.33,6.3,4.86,1.77,5184.96,148
Patna,17/10/2019,69.46,155.9,19.95,43.19,60.37,31.72,1.34,53.96,15.96,3.82,0.6,0.28,5185.96,176
Bhopal,14/02/2020,103.63,216.73,40.02,85.29,71.23,16.34,1.18,9.79,17.07,,,,5186.96,201
Mumbai,13/07/2019,35.7,,32.35,5.93,28.92,75.87,2.19,33.02,45.51,,,3.12,5187.96,63
Lucknow,02/05/2020,29.3,,13.6,20.36,25.23,10.31,0.52,1.23,8.76,0.14,,0.05,5188.96,73
