City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Amritsar,2019-04-04,16.29,50.97,25.56,12.01,,6.29,0.0,6.49,36.41,,,,61.0,Satisfactory
Amaravati,2019-09-05,8.52,20.71,1.29,3.78,2.9,2.16,0.56,15.43,26.23,0.09,0.14,0.1,43.0,Good
Jaipur,2018-07-04,37.31,74.24,11.24,19.3,28.62,13.5,0.79,12.06,36.67,0.53,2.77,,94.0,Satisfactory
Delhi,2015-09-22,93.68,251.26,18.0,31.49,14.96,31.08,0.25,19.2,53.81,0.36,1.65,0.07,250.0,Poor
Amritsar,2019-04-17,,109.27,10.21,12.81,26.71,8.28,0.77,6.02,4.76,1.3,1.1,8.72,108.0,Moderate
Hyderabad,2018-02-04,29.18,81.6,7.87,32.41,32.39,22.64,0.52,7.75,80.08,2.21,19.45,3.78,69.0,Satisfactory
Ahmedabad,2017-12-30,160.41,,9.12,68.49,34.41,,7.79,54.59,10.19,4.24,32.33,6.96,398.0,Very Poor
Amaravati,2019-06-08,62.5,127.84,1.09,13.95,8.74,15.0,0.71,22.1,57.09,0.06,0.14,0.18,117.0,Moderate
Bengaluru,2018-07-08,44.39,,6.71,25.9,26.01,17.31,0.69,2.28,38.16,0.0,0.04,,64.0,Satisfactory
Lucknow,2018-11-25,241.1,,36.84,42.66,13.19,,1.36,4.81,49.15,0.41,1.6,,304.0,Very Poor
Delhi,2019-03-12,138.49,223.92,62.27,69.36,82.24,23.81,1.44,36.91,52.2,3.45,1.9,2.37,201.0,Poor
Brajrajnagar,2020-02-12,178.26,246.99,33.11,18.25,45.24,26.87,4.58,16.06,23.94,0.0,,,355.0,Very Poor
Patna,2017-06-28,37.75,,5.92,7.49,8.48,,1.13,6.53,21.16,0.13,0.75,0.28,80.0,Satisfactory
Amritsar,2017-04-29,12.96,61.3,7.89,10.84,19.69,17.4,0.26,20.87,41.47,1.79,2.49,2.0,108.0,Moderate
Brajrajnagar,2018-08-07,33.77,60.84,7.28,9.73,15.51,16.33,1.65,12.7,24.06,2.63,,,68.0,Satisfactory
Thiruvananthapuram,2019-04-26,9.49,29.56,1.12,5.96,5.28,2.68,0.62,0.61,28.83,,,,46.0,Good
Delhi,2018-07-19,49.23,94.49,19.08,26.52,27.1,211.82,0.67,15.29,19.65,2.18,12.37,1.08,123.0,Moderate
Delhi,2018-12-15,105.83,267.14,80.0,40.49,51.54,36.47,1.29,19.88,42.35,2.84,37.25,1.47,275.0,Poor
Bengaluru,2019-05-11,17.99,43.82,8.99,15.23,21.46,19.87,0.79,4.47,16.48,0.45,3.2,,68.0,Satisfactory
Amaravati,2019-12-09,25.16,50.8,2.81,12.0,6.95,58.55,0.57,16.47,36.48,0.74,2.1,0.2,60.0,Satisfactory
Delhi,2019-06-11,27.5,29.03,12.98,31.05,28.65,37.17,0.85,11.95,42.58,1.66,28.36,0.17,94.0,Satisfactory
Delhi,2019-07-30,24.07,54.32,17.07,21.55,21.92,40.86,0.53,15.61,26.21,1.63,24.23,1.59,89.0,Satisfactory
Bengaluru,2019-10-08,30.38,69.38,4.61,27.07,25.96,21.29,0.85,5.92,14.34,0.84,3.52,,92.0,Satisfactory
Kolkata,2018-08-18,28.68,66.72,3.35,19.82,30.33,9.85,0.67,7.14,5.78,10.16,17.38,,91.0,Satisfactory
Bengaluru,2019-09-18,22.4,60.82,4.15,34.25,20.34,3.61,0.81,3.15,9.01,1.38,1.53,,53.0,Satisfactory
Lucknow,2017-11-19,119.22,,58.0,56.6,72.12,214.27,0.97,9.35,18.54,7.74,7.13,,315.0,Very Poor
Delhi,2018-12-10,81.19,518.44,60.25,59.34,222.88,6.78,1.39,14.06,39.3,9.76,42.14,6.15,613.0,Severe
Patna,2017-09-17,,,,,,,0.0,,,0.0,0.0,0.0,,
Ahmedabad,2018-05-29,,,,,0.0,,,,,,,,,
Mumbai,2015-02-09,,,,,23.8,,0.0,,,0.0,0.0,0.0,,
Jorapokhar,2017-08-17,,,,,,,,,,,,,,
Mumbai,2016-07-29,,,,,13.38,,0.0,,,0.0,0.0,0.0,,
Gurugram,2016-07-14,39.25,,,,,,0.48,2.07,46.31,,,,77.0,Satisfactory
Mumbai,2015-03-13,,,,,144.46,,0.0,,,0.0,0.0,0.0,,
Mumbai,2018-03-17,,,,,36.92,,1.08,,,0.0,0.0,0.0,,
Hyderabad,2015-09-27,46.64,,9.5,17.61,18.14,,0.48,3.13,20.85,,,,140.0,Moderate
Gurugram,2017-08-10,49.5,,6.96,8.94,,,1.4,1.16,18.63,0.0,0.0,,92.0,Satisfactory
Lucknow,2018-11-13,115.7,,2.73,11.4,4.17,13.22,1.36,8.08,14.42,0.2,,,291.0,Poor
Chennai,2016-07-13,40.5,,10.79,17.8,6.81,119.25,0.59,18.83,29.09,0.7,0.0,,105.0,Moderate
Patna,2017-03-07,81.36,,16.75,10.44,29.16,,1.12,2.25,12.61,0.21,0.78,0.64,228.0,Poor
Gurugram,2018-01-12,59.32,,10.87,8.83,4.85,,1.48,4.57,33.72,,,,321.0,Very Poor
Jaipur,2017-10-17,47.3,107.07,15.9,44.8,48.26,23.44,0.87,21.77,55.88,1.05,3.13,,148.0,Moderate
Mumbai,2020-04-23,56.02,177.38,32.56,48.03,75.28,12.07,1.24,10.43,27.44,1.6,,,142.0,Moderate
Mumbai,2019-05-15,18.88,65.21,31.42,15.7,52.83,,1.87,18.23,34.79,0.44,,,99.0,Satisfactory
Brajrajnagar,2020-03-07,13.89,26.36,1.2,0.52,0.22,34.95,1.1,2.05,29.26,0.0,,,68.0,Satisfactory
Lucknow,2018-06-26,49.1,,11.86,33.75,30.33,45.37,2.03,8.8,12.63,1.93,5.72,,128.0,Moderate
Talcher,2019-08-07,45.0,130.49,11.38,19.69,23.49,7.43,1.05,6.62,21.02,0.0,,,99.0,Satisfactory
Bengaluru,2019-12-21,107.41,93.05,13.36,34.61,39.9,66.73,0.97,6.36,33.46,1.59,5.08,,158.0,Moderate
Lucknow,2017-06-26,31.81,,7.19,17.87,,,0.98,5.63,31.85,0.57,1.4,,78.0,Satisfactory
Chennai,2017-06-05,51.62,96.64,19.71,17.21,5.85,52.97,0.05,5.68,29.49,0.35,0.16,,107.0,Moderate
Bengaluru,2015-07-09,16.1,,3.87,12.84,11.19,7.01,7.85,7.36,31.84,3.24,5.78,,106.0,Moderate
Delhi,2017-10-25,71.03,159.11,42.3,42.25,61.05,34.46,1.2,9.59,4.24,4.11,30.5,0.88,217.0,Poor
Kolkata,2018-10-22,82.56,116.95,30.88,71.2,73.77,18.52,0.16,12.1,25.1,5.4,14.03,0.51,158.0,Moderate
Brajrajnagar,2018-01-01,,,,,,,,,,,,,,
Amaravati,2020-04-05,,,,,,,,,,,,,,
Mumbai,2015-10-23,,,,,98.1,,0.0,,,0.0,0.0,0.0,,
Gurugram,2015-10-04,,,2.34,9.4,4.93,,0.15,4.54,6.55,,,,,
Delhi,2018-07-04,53.82,172.86,11.97,39.1,33.15,42.76,1.57,6.89,68.57,4.38,27.07,0.69,248.0,Poor
Amritsar,2020-03-07,18.26,53.17,16.19,9.72,22.17,33.45,0.77,,11.1,0.94,1.69,8.58,47.0,Good
Gurugram,2019-08-30,47.64,,8.13,8.76,8.16,,0.75,9.62,33.76,2.01,6.0,,62.0,Satisfactory
Bengaluru,2017-09-05,25.26,47.75,6.8,31.99,0.0,13.91,0.44,3.99,9.46,0.27,0.5,,76.0,Satisfactory
Chennai,2016-11-21,34.76,,23.89,70.08,38.26,51.81,1.0,7.15,34.11,0.11,1.23,,61.0,Satisfactory
Patna,2017-01-20,92.79,,40.96,26.1,64.8,,1.95,8.83,10.1,0.26,0.91,0.59,,
Brajrajnagar,2020-03-26,48.48,94.67,1.0,13.83,3.08,6.2,0.02,3.94,45.9,0.0,,,,
Patna,2016-04-22,76.93,,13.93,46.52,51.69,,1.02,7.45,7.89,0.16,0.76,0.22,,
Lucknow,2017-01-02,152.17,,34.1,50.34,6.24,,1.78,8.24,12.45,2.44,4.32,,330.0,Very Poor
Delhi,2020-01-04,317.08,77.07,1.5,120.0,64.98,64.71,0.13,9.23,39.47,7.56,8.79,,534.0,Severe
Amaravati,2020-02-07,47.5,94.09,5.99,21.56,17.58,10.47,0.37,5.89,64.14,0.69,2.21,0.25,105.0,Moderate
Delhi,2015-10-22,108.9,419.47,45.64,53.21,67.92,36.58,0.42,36.98,45.39,12.51,20.57,,331.0,Very Poor
Chennai,2020-05-04,35.31,,5.74,10.49,16.38,9.29,0.93,9.48,42.71,0.12,0.28,,73.0,Satisfactory
Chennai,2019-08-24,28.24,68.32,11.85,17.12,27.33,32.59,1.02,11.79,33.66,0.15,0.05,,89.0,Satisfactory
Chennai,2019-09-28,39.68,62.65,6.73,10.56,21.74,21.93,0.77,4.36,31.9,0.03,0.02,,72.0,Satisfactory
Lucknow,2018-11-18,128.29,,23.42,54.52,44.35,29.87,1.61,13.59,20.46,4.43,,,365.0,Very Poor
Lucknow,2019-08-09,34.56,,8.44,14.82,16.51,12.68,1.22,6.4,18.78,0.53,2.7,,69.0,Satisfactory
Coimbatore,2019-08-05,28.76,52.66,0.94,26.59,23.97,24.46,0.55,5.75,21.75,0.05,0.0,,75.0,Satisfactory
Chennai,2018-09-03,23.71,44.06,8.49,17.24,18.92,18.88,0.97,9.84,23.06,1.07,0.15,,61.0,Satisfactory
Shillong,2019-10-27,7.84,21.06,0.9,2.28,1.41,1.9,0.13,4.69,29.98,0.02,0.01,,55.0,Satisfactory
Delhi,2018-02-14,210.85,341.36,77.16,65.04,84.46,44.65,2.0,13.66,25.25,5.39,10.14,,395.0,Very Poor
Thiruvananthapuram,2019-08-08,25.12,45.95,6.97,7.92,14.47,26.54,0.98,6.02,3.7,,,,63.0,Satisfactory
Lucknow,2020-04-05,62.06,,6.48,11.69,11.5,62.49,1.28,4.56,45.77,0.88,1.88,,97.0,Satisfactory
Visakhapatnam,2017-11-12,87.23,174.06,13.25,54.87,28.9,51.79,1.39,6.12,37.72,4.92,7.1,1.97,152.0,Moderate
Visakhapatnam,2019-09-29,13.19,69.43,13.62,21.49,20.19,13.98,0.75,15.89,31.6,9.95,16.29,9.98,76.0,Satisfactory
Visakhapatnam,2020-01-28,34.13,71.98,14.26,43.66,34.71,43.51,0.72,15.0,,9.53,10.31,6.76,87.0,Satisfactory
Ahmedabad,2018-11-25,112.38,,57.57,96.54,63.04,,31.88,39.52,41.74,4.63,9.64,2.17,1436.0,Severe
Hyderabad,2017-06-28,37.76,,5.4,7.25,12.22,,0.76,6.52,12.05,,,,138.0,Moderate
Talcher,2018-04-29,,169.84,2.11,11.46,10.04,,0.0,16.3,31.52,0.0,,,118.0,Moderate
Lucknow,2016-10-28,41.01,,16.22,33.37,6.24,,,16.1,29.49,,,,81.0,Satisfactory
Thiruvananthapuram,2020-04-08,28.22,67.92,1.94,7.82,5.71,3.04,0.74,5.61,1.33,,,,60.0,Satisfactory
Visakhapatnam,2019-06-20,17.28,40.88,17.59,22.93,34.1,13.38,1.04,34.19,12.66,5.11,11.41,3.83,79.0,Satisfactory
Amritsar,2018-09-14,68.71,96.38,26.76,32.0,50.38,11.35,1.19,7.63,44.48,6.47,10.07,5.25,103.0,Moderate
Amritsar,2019-12-04,17.52,76.09,11.57,15.28,25.57,13.94,0.94,5.29,45.78,0.34,0.82,3.02,52.0,Satisfactory
Guwahati,2018-07-19,21.41,31.91,1.1,4.48,3.96,2.43,0.45,17.84,36.27,0.0,,,49.0,Good
Chennai,2018-06-27,24.49,,5.56,15.31,18.38,30.33,0.92,8.14,15.58,0.0,0.0,,131.0,Moderate
Chennai,2015-08-20,52.67,,5.94,20.11,24.64,31.38,1.85,9.58,22.45,,3.49,,141.0,Moderate
Gurugram,2015-09-11,29.38,,7.93,5.15,12.85,,0.39,3.02,19.57,,,,94.0,Satisfactory
Jaipur,2018-08-27,41.33,131.62,16.19,3.85,,,0.28,9.56,27.57,0.0,0.47,,98.0,Satisfactory
Guwahati,2020-03-02,19.62,35.84,4.07,13.77,20.44,9.48,0.71,15.25,18.39,0.0,,,47.0,Good
Chennai,2018-10-14,65.64,,10.71,10.54,23.32,51.36,0.89,7.11,17.59,,5.15,,194.0,Moderate
Patna,2019-10-08,21.67,58.62,32.15,19.42,45.5,5.73,0.52,8.9,22.47,0.95,2.75,0.82,101.0,Moderate
Brajrajnagar,2020-02-03,48.86,99.81,21.04,20.8,33.94,21.53,0.81,6.13,17.19,1.7,,,115.0,Moderate
Delhi,2017-10-09,59.44,169.94,11.57,41.91,7.69,43.75,0.19,23.58,4.23,,,,197.0,Moderate
Chennai,2016-04-02,87.24,,13.79,27.69,24.7,195.82,0.69,12.77,28.78,1.17,2.0,,173.0,Moderate
Mumbai,2017-12-05,63.49,122.55,27.73,52.15,73.43,,2.08,26.39,40.74,2.34,,,134.0,Moderate
Delhi,2019-12-09,103.04,237.61,38.19,59.68,55.41,24.0,0.61,22.35,26.31,2.76,6.06,,248.0,Poor
Gurugram,2019-10-05,43.46,97.24,1.84,10.0,2.68,45.66,0.77,11.32,12.87,0.0,,,126.0,Moderate
Hyderabad,2020-01-31,48.55,100.58,4.6,37.1,20.97,14.34,0.1,4.3,32.92,4.89,28.97,14.05,108.0,Moderate
Bengaluru,2018-12-26,29.8,,6.43,25.79,20.17,96.04,0.68,5.73,31.5,1.8,2.39,,67.0,Satisfactory
Bengaluru,2019-09-12,34.57,36.97,5.26,12.22,16.07,3.08,0.55,12.37,13.02,0.8,3.48,,37.0,Good
Kolkata,2018-07-22,19.23,46.09,5.41,15.2,23.44,6.53,0.49,2.39,13.03,11.76,8.0,2.78,37.0,Good
Talcher,2019-07-23,21.48,42.53,26.95,1.17,33.18,7.54,0.99,12.86,15.72,0.0,,,99.0,Satisfactory
Bhopal,2018-10-12,15.24,45.46,7.83,24.58,21.16,20.32,0.42,4.13,23.42,,,,69.0,Satisfactory
Amritsar,2019-10-24,58.4,116.61,26.91,49.43,63.52,32.2,0.0,2.62,33.54,16.02,0.77,12.46,108.0,Moderate
Bengaluru,2017-08-13,24.4,73.73,8.64,31.71,0.0,22.98,0.51,5.3,16.46,0.02,0.37,,90.0,Satisfactory
Kolkata,2019-07-21,10.68,29.03,17.05,29.88,32.57,11.24,0.38,5.23,16.47,21.46,12.32,3.64,37.0,Good
Lucknow,2016-08-17,37.48,,3.88,9.56,4.19,,3.11,15.11,26.1,0.92,1.1,,72.0,Satisfactory
Jorapokhar,2019-03-24,,112.37,10.76,10.34,,,0.31,21.31,54.39,,,,115.0,Moderate
Lucknow,2015-03-24,,,14.01,21.07,6.24,,0.73,4.8,8.24,1.28,3.13,,,
Thiruvananthapuram,2018-08-07,22.38,,0.53,8.5,2.43,32.85,0.98,8.68,9.73,,,,,
Amaravati,2017-12-01,24.39,46.83,3.58,9.32,10.15,4.83,0.56,21.5,38.52,0.26,2.54,0.35,105.0,Moderate
Delhi,2019-08-03,22.88,71.69,8.53,27.68,15.05,8.57,0.84,15.33,28.2,1.59,6.35,1.28,153.0,Moderate
Hyderabad,2016-10-26,61.95,101.57,9.07,33.11,11.61,14.51,0.28,5.43,45.05,1.66,19.81,1.96,101.0,Moderate
Jaipur,2019-06-24,29.07,54.61,2.91,18.22,17.41,3.18,0.72,10.92,29.66,0.52,3.19,,99.0,Satisfactory
Gurugram,2018-03-31,36.52,73.07,5.67,9.97,10.06,6.11,0.68,15.85,26.5,3.42,6.57,13.29,156.0,Moderate
Jorapokhar,2018-11-20,,331.05,7.81,7.69,,36.68,0.0,,45.78,,,,302.0,Very Poor
Amritsar,2017-02-18,,180.2,27.99,11.14,,10.73,0.69,5.71,9.41,,,,148.0,Moderate
Guwahati,2019-09-11,17.71,41.04,4.72,9.65,8.95,1.13,0.46,16.02,1.2,0.0,,,46.0,Good
Lucknow,2017-04-08,111.55,,7.24,14.39,4.92,,2.49,4.81,21.62,,,,295.0,Poor
Chennai,2016-02-10,109.0,,17.57,33.02,17.05,78.49,4.69,28.4,57.79,6.19,0.04,,258.0,Poor
Ahmedabad,2017-09-27,,,,,,,,,,,,,,
Mumbai,2015-02-11,,,,,25.77,,0.0,,,0.0,0.0,0.0,,
Chennai,2015-01-15,,,14.04,22.49,12.55,24.5,3.75,1.83,58.26,0.03,0.28,,,
Thiruvananthapuram,2019-11-20,53.3,84.51,5.98,18.97,17.21,11.38,1.21,4.98,6.7,,,,97.0,Satisfactory
Jaipur,2018-07-13,61.12,84.01,6.47,21.15,29.03,28.25,0.76,12.43,28.75,0.56,3.73,,84.0,Satisfactory
Hyderabad,2020-01-14,55.57,138.02,5.12,20.59,14.55,20.45,0.47,6.59,29.84,0.84,4.12,0.01,116.0,Moderate
Hyderabad,2020-03-12,52.08,70.92,5.49,26.25,19.39,55.37,0.75,6.3,45.41,1.14,5.99,2.09,110.0,Moderate
Visakhapatnam,2020-03-15,35.58,116.07,11.81,44.26,27.57,4.04,0.89,20.65,4.96,6.37,12.52,1.88,131.0,Moderate
Gurugram,2019-11-25,29.83,139.7,18.39,22.94,30.66,,0.27,8.1,53.6,0.0,0.0,,121.0,Moderate
Jorapokhar,2017-08-12,,91.36,7.96,9.14,,6.58,0.36,27.14,29.86,,,,124.0,Moderate
Lucknow,2017-12-30,91.39,,9.58,47.67,25.75,21.81,1.03,11.78,40.05,,,,257.0,Poor
Coimbatore,2019-06-16,42.31,125.12,6.48,19.58,26.26,6.3,1.34,8.86,29.09,0.02,0.06,,,
Hyderabad,2018-05-04,58.18,,7.83,7.59,17.9,,0.43,9.25,23.4,,,,85.0,Satisfactory
Thiruvananthapuram,2019-10-05,26.93,40.29,2.77,11.54,6.99,2.1,1.32,5.38,24.77,,,,74.0,Satisfactory
Kolkata,2018-11-08,31.73,55.38,4.55,27.36,29.57,10.54,0.65,3.86,18.85,18.42,32.79,7.96,61.0,Satisfactory
Thiruvananthapuram,2018-07-04,21.67,40.19,1.72,7.89,4.44,9.11,0.92,4.99,42.23,,,,68.0,Satisfactory
Delhi,2019-01-21,173.99,222.57,58.42,45.29,91.53,72.87,10.22,19.39,41.63,10.48,19.51,2.95,378.0,Very Poor
Hyderabad,2018-10-13,45.57,91.23,5.75,30.82,15.95,13.27,0.43,7.42,24.31,0.86,7.81,1.84,97.0,Satisfactory
Guwahati,2018-11-24,109.7,246.5,6.38,7.39,19.4,13.28,0.42,20.55,54.22,0.22,,,240.0,Poor
Patna,2017-11-19,240.06,,12.44,52.57,24.93,,1.13,19.04,55.91,2.79,41.54,15.0,355.0,Very Poor
Mumbai,2018-06-13,32.53,99.19,63.67,53.08,141.88,,2.75,13.53,19.71,7.38,,,108.0,Moderate
Guwahati,2019-08-08,10.73,28.53,0.53,6.79,6.08,1.99,0.27,19.75,34.75,0.0,,,103.0,Moderate
Lucknow,2017-11-17,109.16,,2.46,14.59,2.78,,1.48,5.87,31.87,,,,308.0,Very Poor
Visakhapatnam,2018-03-31,28.6,234.45,2.24,21.36,19.5,13.39,0.72,7.11,31.28,2.88,3.75,0.83,,
Brajrajnagar,2018-05-24,51.29,121.15,23.24,23.17,30.3,10.52,2.94,9.24,15.57,0.0,,,112.0,Moderate
Jaipur,2018-09-01,44.82,138.63,16.73,37.19,39.04,17.04,0.98,10.61,14.86,0.49,3.43,,150.0,Moderate
Bengaluru,2016-10-30,65.99,120.59,8.54,27.48,0.0,19.88,1.09,5.75,22.69,1.83,4.4,,145.0,Moderate
Mumbai,2018-02-14,24.77,63.89,12.39,25.5,39.64,6.55,0.26,7.9,12.01,1.88,,,55.0,Satisfactory
Gurugram,2017-12-03,94.99,,7.61,6.69,,,0.43,2.74,30.31,0.03,2.27,,303.0,Very Poor
Jaipur,2015-10-12,34.6,89.9,4.59,44.45,31.87,12.56,0.39,9.78,42.87,0.28,1.79,,103.0,Moderate
Amritsar,2018-08-25,15.16,39.51,10.5,9.51,22.01,10.38,0.44,49.42,19.01,1.53,1.67,2.0,47.0,Good
Chennai,2020-03-10,39.31,87.81,4.05,8.67,12.12,12.81,0.73,18.45,63.11,0.74,1.26,,108.0,Moderate
Amaravati,2017-12-22,37.83,45.6,8.5,24.2,13.8,6.6,0.4,8.92,38.11,0.13,2.43,0.29,88.0,Satisfactory
Hyderabad,2017-09-25,10.69,23.96,11.8,45.64,15.6,7.55,0.0,5.28,9.69,0.05,0.74,0.08,149.0,Moderate
Amaravati,2017-12-20,73.68,188.22,6.99,54.96,32.3,18.6,0.06,26.11,42.86,0.12,6.68,0.11,184.0,Moderate
Bengaluru,2017-03-12,67.59,76.6,4.75,44.13,25.59,25.59,0.5,4.39,63.97,1.19,1.2,,114.0,Moderate
Delhi,2017-11-27,139.87,361.13,62.77,45.78,73.31,335.08,1.25,18.61,41.42,2.77,28.97,0.09,285.0,Poor
Amaravati,2019-11-16,43.83,143.88,0.2,5.2,2.06,14.26,0.77,13.13,47.09,0.06,0.11,0.1,103.0,Moderate
Lucknow,2016-05-30,112.99,,8.26,24.72,,,1.0,5.16,12.61,0.44,2.57,,326.0,Very Poor
Chennai,2015-08-29,50.1,,12.38,19.54,18.91,23.64,0.96,4.65,21.44,0.11,0.58,,85.0,Satisfactory
Patna,2018-08-09,40.65,99.29,26.79,29.65,61.15,13.52,0.88,8.87,31.28,1.26,2.51,1.5,105.0,Moderate
Jaipur,2019-02-11,87.18,145.66,8.77,38.17,30.55,15.13,0.98,7.41,54.92,0.59,3.04,,199.0,Moderate
Amritsar,2017-11-11,117.27,279.14,57.27,28.12,75.78,6.85,2.22,5.41,13.19,4.99,3.6,3.02,500.0,Very Poor
Hyderabad,2015-03-25,62.93,,14.56,11.85,32.24,,0.84,8.46,33.58,,,,220.0,Poor
Gurugram,2016-08-22,39.95,,10.38,12.7,23.63,,0.59,5.01,11.1,2.6,,,114.0,Moderate
Jorapokhar,2018-12-10,,125.99,10.89,10.45,,6.73,1.37,16.39,20.18,,,,265.0,Poor
Jorapokhar,2019-03-29,51.53,81.25,5.2,8.79,,7.83,,18.08,15.92,,,,120.0,Moderate
Gurugram,2018-01-13,152.89,,6.42,14.0,,,0.57,4.94,24.07,0.02,2.3,,359.0,Very Poor
Chennai,2015-09-04,46.61,,7.93,16.43,13.46,11.06,1.22,5.65,17.7,1.1,1.05,,119.0,Moderate
Gurugram,2018-12-05,54.24,139.82,23.72,24.26,32.51,,0.58,,68.57,0.43,,,160.0,Moderate
Gurugram,2016-03-04,109.43,,5.93,12.37,,,,6.81,11.61,4.06,27.23,,323.0,Very Poor
Lucknow,2016-10-13,51.7,,7.91,29.94,6.9,,1.7,6.67,25.11,1.1,2.18,,123.0,Moderate
Brajrajnagar,2019-04-15,55.87,121.74,8.52,20.56,21.14,2.51,0.68,3.13,18.21,8.05,,,440.0,Severe
Delhi,2015-05-07,67.58,196.54,27.49,52.15,81.52,34.77,1.57,10.05,30.64,3.53,4.27,,265.0,Poor
Patna,2020-03-26,18.3,44.22,20.98,12.3,27.62,13.78,0.84,5.91,31.47,1.17,3.18,0.55,78.0,Satisfactory
Hyderabad,2019-03-26,39.05,140.91,11.02,7.8,5.33,5.72,0.99,5.07,24.2,1.67,9.79,0.65,108.0,Moderate
Bengaluru,2019-06-30,33.15,92.99,8.09,21.8,27.42,12.08,0.74,6.59,14.02,0.6,1.81,,91.0,Satisfactory
Bengaluru,2018-01-04,58.89,116.83,5.52,29.89,29.32,18.39,0.93,5.13,44.32,0.88,2.39,,106.0,Moderate
Brajrajnagar,2019-08-02,37.03,66.06,3.73,13.23,11.48,7.59,2.59,12.17,2.82,1.71,,,99.0,Satisfactory
Lucknow,2017-01-22,81.68,,4.14,30.05,16.41,22.63,1.32,4.45,42.85,0.05,0.15,,118.0,Moderate
Ahmedabad,2017-12-24,127.62,,23.89,57.36,41.59,,22.84,79.16,47.72,2.14,32.05,0.52,471.0,Severe
Delhi,2020-05-29,55.68,101.22,14.38,43.83,30.93,29.99,0.0,,33.99,0.26,0.0,,117.0,Moderate
Chennai,2015-09-07,57.33,,9.83,20.27,14.89,15.14,1.17,6.28,35.14,,2.3,,162.0,Moderate
Chennai,2020-03-03,37.1,97.1,7.78,15.4,22.21,17.66,0.83,5.91,49.2,1.26,0.0,,103.0,Moderate
Chennai,2016-04-12,54.73,,11.03,15.21,12.39,343.46,1.09,4.3,21.07,0.29,1.68,,113.0,Moderate
Brajrajnagar,2019-10-02,96.74,168.45,24.15,22.41,35.69,15.26,0.02,6.89,28.4,1.72,,,250.0,Poor
Visakhapatnam,2019-09-04,12.18,18.99,25.7,32.6,34.86,8.86,0.76,13.54,21.06,2.3,13.53,8.49,69.0,Satisfactory
Thiruvananthapuram,2020-01-26,23.7,46.19,0.68,4.73,4.07,5.44,1.32,4.84,33.26,,,,74.0,Satisfactory
Amaravati,2019-03-23,16.34,48.09,2.45,6.89,5.01,6.23,0.53,14.13,38.39,0.02,0.31,0.1,70.0,Satisfactory
Hyderabad,2018-03-19,32.76,96.89,16.3,42.49,11.98,12.81,0.26,8.41,44.19,0.03,1.32,4.22,99.0,Satisfactory
Lucknow,2019-07-29,33.21,,8.12,17.98,16.14,31.01,0.94,6.74,32.95,7.12,5.23,,56.0,Satisfactory
Gurugram,2019-04-01,61.03,159.63,6.95,30.39,23.26,,0.37,5.12,19.19,0.0,0.0,,146.0,Moderate
Lucknow,2017-12-20,116.24,,9.59,39.42,24.7,17.95,0.82,12.25,34.78,0.15,0.23,,246.0,Poor
Delhi,2018-07-03,42.07,97.62,8.5,33.43,32.3,36.01,0.96,16.02,22.75,0.69,24.9,0.01,135.0,Moderate
Chennai,2017-06-28,46.29,,7.38,12.94,9.4,,0.38,5.68,35.77,0.05,0.0,,85.0,Satisfactory
Talcher,2019-08-17,13.3,34.97,25.56,16.38,39.53,25.06,3.49,8.76,3.12,0.0,,,116.0,Moderate
Chennai,2017-06-20,60.55,,5.46,19.87,10.34,,0.02,6.12,21.92,0.25,0.64,,121.0,Moderate
Lucknow,2015-05-22,86.22,,4.96,30.15,3.44,,2.19,10.77,18.33,0.11,0.67,,280.0,Poor
Gurugram,2019-03-26,64.25,10.09,19.39,24.67,27.55,,1.06,4.68,36.04,2.79,6.28,,235.0,Poor
Gurugram,2020-02-16,159.13,335.45,50.1,62.89,111.47,,0.4,1.56,33.86,0.0,0.0,,319.0,Very Poor
Patna,2020-02-17,69.55,138.69,26.69,34.05,57.37,27.51,0.93,7.43,29.94,2.08,3.09,0.76,163.0,Moderate
Jaipur,2020-03-06,40.91,61.03,4.02,11.03,14.12,11.85,0.54,7.6,43.2,0.24,0.47,,64.0,Satisfactory
Patna,2019-10-26,75.53,102.09,33.24,43.32,76.67,7.18,1.71,10.75,4.17,2.09,2.44,2.09,218.0,Poor
Guwahati,2016-04-28,84.45,372.16,20.89,26.15,70.46,24.45,1.02,11.77,11.03,0.0,,,200.0,Moderate
Lucknow,2016-02-04,32.52,,6.99,12.15,,,1.37,5.57,20.81,0.22,3.24,,78.0,Satisfactory
Delhi,2019-06-01,30.51,75.54,12.17,29.79,22.69,35.57,0.64,15.17,33.44,1.13,2.64,0.0,104.0,Moderate
Delhi,2016-07-24,44.81,73.77,13.21,47.19,38.2,36.93,0.85,20.64,37.22,5.12,7.79,,105.0,Moderate
Lucknow,2017-07-27,321.94,,11.52,15.31,,,1.28,4.73,14.5,1.54,3.47,,86.0,Satisfactory
Lucknow,2020-03-12,80.88,,3.84,13.33,13.55,21.97,0.75,6.65,42.14,15.46,5.32,,103.0,Moderate
Jaipur,2018-03-11,66.26,170.57,8.42,49.94,74.57,26.82,2.65,10.18,41.33,2.46,18.43,,117.0,Moderate
Hyderabad,2020-02-12,47.33,110.1,8.68,31.34,19.32,15.98,0.09,49.6,49.52,0.45,2.12,0.29,122.0,Moderate
